"blockcode","maxdown","num_providers"
"310019655001025",1000,3
"310019655001026",940,2
"310019655001027",1000,3
"310019655001028",1000,3
"310019655001029",1000,3
"310019655001030",1000,3
"310019655001031",1000,2
"310019655001032",1000,3
"310019655001033",940,2
"310019655001034",1000,3
"310019655001035",1000,3
"310019655001036",940,1
"310019655001037",1000,3
"310019655001038",1000,3
"310019655001039",940,2
"310019655001040",940,1
"310019655001041",1000,3
"310019655001042",1000,3
"310019655001043",1000,3
"310019655001044",940,1
"310019655001045",940,1
"310019655001046",940,1
"310019655001047",940,1
"310019655001048",1000,2
"310019655001049",1000,2
"310019655001050",1000,3
"310019655001051",940,1
"310019655001052",940,1
"310019655001053",940,1
"310019655001054",940,1
"310019655001055",1000,3
"310019655001056",1000,2
"310019655001057",940,1
"310019655001058",940,1
"310019655001059",940,1
"310019655001060",1000,3
"310019655001061",940,2
"310019655001062",1000,2
"310019655001063",940,1
"310019655001064",1000,2
"310019655001065",940,1
"310019655001066",940,1
"310019655001067",940,2
"310019655001068",940,1
"310019655001069",940,2
"310019655001070",940,1
"310019655001071",940,1
"310019655001072",940,1
"310019655001073",1000,3
"310019655001074",940,2
"310019655001075",1000,3
"310019655001076",940,1
"310019655001077",1000,3
"310019655001078",940,1
"310019655001079",940,1
"310019655001080",940,1
"310019655001081",940,2
"310019655001082",940,1
"310019655001083",940,1
"310019655001084",940,2
"310019655001085",940,1
"310019655001086",940,1
"310019655001087",940,1
"310019655001088",940,1
"310019655001089",940,1
"310019655001090",940,1
"310019655001091",940,1
"310019655001092",940,1
"310019655001093",940,1
"310019655001094",940,1
"310019655001097",940,1
"310019655001098",940,1
"310019655001099",940,1
"310019655001100",940,1
"310019655001101",940,1
"310019655001102",1000,3
"310019655001103",1000,3
"310019655001104",940,1
"310019655001105",1000,2
"310019655001106",940,1
"310019655001107",940,1
"310019655001108",940,2
"310019655001109",940,1
"310019655001110",940,1
"310019655001111",940,1
"310019655001112",940,1
"310019655001113",940,1
"310019655001114",940,1
"310019655001115",940,1
"310019655001116",1000,3
"310019655001117",940,1
"310019655001118",940,1
"310019655001119",1000,2
"310019655001120",940,1
"310019655001121",940,1
"310019655001122",940,1
"310019655001123",1000,2
"310019655001124",1000,3
"310019655001125",1000,3
"310019655001126",1000,3
"310019655001127",940,1
"310019655001128",940,1
"310019655001129",940,2
"310019655001130",1000,2
"310019655001131",1000,2
"310019655001132",1000,2
"310019655001133",1000,2
"310019655001134",1000,3
"310019655001135",1000,3
"310019655001136",940,2
"310019655001137",940,2
"310019655001138",1000,2
"310019655001139",1000,2
"310019655001140",1000,2
"310019655001141",1000,2
"310019655001142",1000,2
"310019655001143",940,1
"310019655001144",1000,2
"310019655001145",1000,2
"310019655001146",940,1
"310019655001147",1000,1
"310019655001149",940,1
"310019655001150",1000,2
"310019655001151",1000,2
"310019655001152",1000,3
"310019655001153",1000,3
"310019655001154",1000,3
"310019655001155",1000,3
"310019655001156",940,1
"310019655002000",1000,3
"310019655002001",1000,3
"310019655002002",1000,3
"310019655002003",940,1
"310019655002004",940,1
"310019655002005",1000,2
"310019655002006",940,1
"310019655002007",940,1
"310019655002008",1000,2
"310019655002009",1000,3
"310019655002010",1000,3
"310019655002011",940,2
"310019655002012",940,1
"310019655002013",1000,3
"310019655002014",1000,3
"310019655002015",1000,3
"310019655002016",1000,3
"310019655002017",1000,3
"310019655002018",1000,3
"310019655002019",940,1
"310019655002020",1000,3
"310019655002021",1000,2
"310019655002022",1000,3
"310019655002023",1000,3
"310019655002024",1000,3
"310019655002025",1000,2
"310019655002026",1000,3
"310019655002027",1000,3
"310019655002028",1000,3
"310019655002029",1000,3
"310019655002030",1000,3
"310019655002031",1000,2
"310019655002032",1000,2
"310019655002033",1000,3
"310019655002034",1000,3
"310019655003000",940,1
"310019655003001",1000,3
"310019655003002",1000,3
"310019655003003",1000,3
"310019655003004",1000,3
"310019655003005",1000,2
"310019655003006",1000,2
"310019655003007",1000,2
"310019655003008",1000,2
"310019655003009",1000,2
"310019655003010",1000,3
"310019655003011",1000,2
"310019655003012",1000,3
"310019655003013",1000,2
"310019655003014",1000,3
"310019655003015",1000,3
"310019655003016",1000,3
"310019655003017",1000,3
"310019655003018",1000,3
"310019655003019",1000,3
"310019655003020",1000,2
"310019655003021",1000,3
"310019655003022",1000,3
"310019655003023",1000,3
"310019655003024",1000,3
"310019655003025",1000,3
"310019655003026",1000,3
"310019655004000",1000,3
"310019655004001",1000,2
"310019655004002",1000,3
"310019655004003",1000,3
"310019655004004",1000,3
"310019655004005",1000,3
"310019655004006",1000,2
"310019655004007",1000,3
"310019655004008",1000,3
"310019655004009",1000,3
"310019655004010",1000,3
"310019655004011",1000,2
"310019655004012",1000,3
"310019655004013",1000,3
"310019655004014",1000,2
"310019655004015",1000,3
"310019655004016",1000,3
"310019655004017",1000,3
"310019655004018",1000,3
"310019656001001",15,1
"310019656001003",1.5,1
"310019656001005",4,1
"310019656001007",940,1
"310019656001010",4,1
"310019656001011",940,1
"310019656001012",940,1
"310019656001013",2,1
"310019656001014",940,1
"310019656001015",940,1
"310019656001016",940,1
"310019656001018",1000,3
"310019656001019",940,2
"310019656001023",940,1
"310019656001024",940,2
"310019656001025",940,1
"310019656001027",940,2
"310019656001028",940,1
"310019656001029",940,1
"310019656001030",940,2
"310019656001031",940,1
"310019656001032",940,2
"310019656001033",940,1
"310019656001034",940,1
"310019656001035",940,1
"310019656001036",940,1
"310019656001037",1000,3
"310019656001038",940,1
"310019656001039",1000,3
"310019656001040",1000,3
"310019656001041",1000,3
"310019656001042",940,1
"310019656001043",1000,3
"310019656001044",1000,3
"310019656001045",1000,2
